processed_tokens,class_label
"['dun', 'turkcell', 'tepki', 'sonra', 'bugün', 'turkcell', 'twitter', 'sponsor', 'ol', 'ne', 'tesadüf', 'değil', 'mi']",Positive
"['girmezmiyim', 'turkcell', 'kartim', 'bile', 'var', 'yarindan', 'itibaren', 'o', 'takicam', 'twittersiz', 'dene', 'sadece', '3', 'gun', 'yap']",Positive
"['tam', 'tünel', 'gecerken', '3g', 'cekiyordud', 'türkcell', 'reklamlari', 'vodafone', 'hareket', 'gecirmis', 'olmali']",Positive
"['turkcell', 'superonline', 'fiber', 'internet', 'veya', 'adsl', 've', 'sabit', 'telefon', 'hizmet']",Positive
"['ben', 'gnçtrkcll', 'ark', 'winterfest', '2012', '1olur', 'da', 'gelir']",Positive
"['turkcell', 'sen', 'kıyak', 'geç', 'd']",Positive
"['turkcell', 'bağ', 'hayat', 'de']",Positive
"['kimse', 'takmıyo', 'ben', 'yaaaaa', 'turkcell', 'ben', 'mesaj', 'aaat', 'd']",Positive
"['bu', 'turkcell', 'pusula', 'uygula', 'iphone', 'kullan', 'için', 'büyük', 'nimet', 'otur', 'yer', 'nöbet', 'eczane', 'kaç', 'metre', 'öte', 'ben', 'söyle']",Positive
"['o', 'zaman', 'sorun', 'yok', 'ben', 'turkcell', 'için', 'iyi', 'bir', 'tarife', 'ara', 'ama', 'ne', 'yap', 'karar', 'ver', 'fikir', 'ver']",Positive
"['samsung', 've', 'turkcell', 'kaçır', 'kampanya', 'samsung', 'her', 'an', 'bağlantı', 'kal', 'sağla', 'qwerty', 'klavye']",Positive
"['i̇novasyon', 'ödül', 'turkcell']",Positive
"['pazar', 'gunlerı', 'sans', 'gunummuss', 'turkcellılerle', 'bedava', 'konuscakmısımm', 'sagol', 'varol', 'turkcell', 'kahrol', 'avea']",Positive
"['büyük', 'ödül', 'turkcell', 'teknoloji']",Positive
"['hadi', 'yine', 'süper', 'iyi', 'sıyır', 'iphone', '4s', 'olay']",Positive
"['superonline', 'fiber', 'internet', 'hizmet', 'adres', 'var', 'tavsiye', 'et', 'cok', 'hizli', 'hesapli', 'kes', 've', 'kimse', 'aramiyor', 'bu', 'ara']",Positive
"['kesinlikle', 'süperonlinehatta', 'tivibu', 'da', 'öneririmgayet', 'güzel', 'imkan', 'var']",Positive
"['hayat', 'paylaş', 'güzel', 'la', 'la', 'laaa', 'laa', 'laaa', 'la', 'laaa']",Positive
"['özturkcell', 'sen', 'öl', 'gel', 'özturkceeeeeellllll', 'hasan', 'doğa', 'spor', 'kompleks']",Positive
"['eyvallah', 'hayat', 'paylaş', 'güzel']",Positive
"['bi', 'turkcell', 'bi', 'de', 'cocacola', 'reklam', 'ben', 'deri', 'etkliyo', 'la']",Positive
"['teşekkür', 'et', 'selocan']",Positive
"['bu', 'akşam', 'turkcell', 'belejj', 'film', 'gecesiyani', 'gnç', 'turkcell', 'şifre', 'paylaşım', 'gece', 'katkı', 'bekliorum', 'sanat', 've', 'sinema', 'katkı', 'bap']",Positive
"['evet', 'turkcell', 'ile', 'dene', 'bir', 'sıkıntı', 'çık', 'jb', 'siz', 'avea', 'için', 'herhangi', 'bir', 'çözüm', 'varmı', 'avea', 'aveadestek']",Positive
"['manga', 'konser', 'bugün', 'saat', '1500te', 'canlı', 'yayın', 'adres', 'hayat', 'müzik', 'paylaş', 'güzel']",Positive
"['çakma', 'i̇phone4üm', 'var', 'turkcell', '1gb', 'tel', 'i̇nterneti̇m', 'var', 'sabah', 'akşam', 'buradayim', 'süper', 'ne', 'li̇mi̇t', 'ne', 'kesi̇nti̇', 'sağol', 'çi̇nturkcell', 'emekli̇ğe', 'kiyak']",Positive
"['yanlız', 'kim', 'mutlu', 'olmuşki', 'seen', 'ol', 'kendi', 'kan', 'bak', 'sertb', 'abla', 'ne', 'diyo', 'hayat', 'paylaş', 'güzel']",Positive
"['turkcell', 'superonline']",Positive
"['turkcell', 'haydi', 'gel', 'paket', 'enfes']",Positive
"['photo', 'dünya', 'lider', 'et', 'operatör', 'biri', 'türk', 'turkcell', 'superonline', 'fiber', 'internet', 'dünya', 'lider']",Positive
"['turkcell', '3', 'tl', 'hediye', 'et', 'ben', 'ne', 'güzel', 'ol']",Positive
"['turkcell', 'yedekle', 'yi', 'kullan', 'daha', 'pratik', 'ol']",Positive
"['fiyat', 'basl', 'peki', 'cokmu', 'azmi', 'alablrzz', 'uygunsaa']",Positive
"['bugün', 'turkcell', 'tarafından', 'çek', 'katıl', 'için', 'tebrik', 'al', 'o', 'zaman', 'anla', 'ki', 'ben', 'için', 'küçük', 'insan', 'için', 'büyük', 'bir', 'adım', 'at']",Positive
"['ufunett', 'bastıı', 'yinekeşkee', 'turkcell', 'olsanntarifeni', 'değiş', 'sen', 'yaa']",Positive
"['o', 'geçen', 'hafta', 'ben', 'yap', 'bu', 'superonline', 'şu', 'an', 'rahat', 'gir', 'ama', 'o_o']",Positive
"['bu', 'ara', 'farket', 'de', 'hepsi', 'turkcell', 'kullan']",Positive
"['hahaha', 'turkcell', 'ben', 'seviyo']",Positive
"['dun', 'gecedn', 'beri', 'turkcell', 'mustri', 'hzmetlerndeki', 'kadinla', 'ask', 'yasiyrz', 'sonunda', 'ol', 'oh', 'be']",Positive
"['mutlu', 'mutlu', 'mutlu', 'hayat', 'paylaş', 'güzel', 'lalalalaaaa']",Positive
"['2012hayallerimin', 'ilk', 'sıra', 'ay', 'söyle', 'dur', 'gibi', 'numara', 'turkcell', 'taşı', 'var', 'hayal', 'ol', 'kal', 'ama', 'nioğğlur']",Positive
"['turkcell', '3g', 'hız', 'abd', 'dek', '4gden', 'daha', 'hız']",Positive
"['bu', 'turkcell', 'müzik', 'muhabbet', 'sev']",Positive
"['mahalle', 'superonline', 'geç', 'iyi']",Positive
"['özturkcell', 'e', 'geciş', 'yap']",Positive
"['bu', 'turkcell', 'cok', 'iyi', 'landurduk', 'yer', 'mesaj', 'at', 'kampanya', 'mutlu', 'et', 'falansevgilim', 'gorup', 'kıskan', 'um']",Positive
"['hayat', 'beleş', 'git', 'turkcell', 'al']",Positive
"['turkcell', '4', 'çekiyo', 'yavruş', 'o']",Positive
"['selam', 'yeniden', 'haxball', 'can', 'ye', 'turkcell', 'superonline']",Positive
"['ben', 'subtta', 'iphne', 'alcm', 'trkcel']",Positive
"['turkcell', 'goldplatinum', 'kullan', 'i', '50', 'indirim', 'hak', 'mart', 'kadar', '3', 'kez', 'kullan', 'hak', 'var']",Positive
"['say', 'süreyya', 'ciliv', 'türkiye', 'değer', 'kat', 'ödül', 'takdim', 'et']",Positive
"['teşekkür', 'turkcell']",Positive
"['heryone', 'degilim', 'ki', 'sadece', 'turkcell', 'o', 'yuzden']",Positive
"['en', 'iyi', 'ben', 'yarın', 'turkcell', 'e', 'gidi']",Positive
"['turkcell', 'şimdi', 'karşılaş', 'biyerlerde']",Positive
"['teşekkür', 'et', 'turkcell', 'üzeri', 'internet', 'bağla', 'sorun', 'yaşadm', 'da', 'anlam', 'ver', 'ama', 'geç', 'teşekkürlerr']",Positive
"['osesturkiye', 'de', 'turkcell', 'sponsorlugunun', 'dip', 'vurulmus', 'gormeyen', 'kalmadi', 'o', 'sunucu', 'buyuk', 'gnctrkcll', 'yazisini']",Positive
"['hayat', 'paylaş', 'güzella', 'la', 'la']",Positive
"['yeni', 'yıl', 'reklam', 'bir', 'harika']",Positive
"['bos', '1', 'numara']",Positive
"['3kelimeyle2011', 'gel', 'güzel', 'gel']",Positive
"['sadece', 'quiknet', 'mi', 'var', 'wınnımda', 'var', '64', 'k', 'lik', 'micro', 'sim', 'im', 'var', 'i', 'pad', 'turkcell', '4', 'çek']",Positive
"['yar', 'kendi', 'turksel', 'hat', 'sey', 'aldircaem', 'o', 'ver', 'sen']",Positive
"['reklam', 'ben', 'reklam', 'çağrış', 'bu', 'çağrışım', 'yarat', 'turkcell', 'başarı', 'ol', 'da', 'hal', 'o', 'değil', 'mi']",Positive
"['hahaha', 'asil', 'sen', 'koruosn', 'yok', 'ben', 'reklam', 'takti', 'insan', 'aveayi', 'degil', 'direk', 'turkcell', 'dusunduruyo']",Positive
"['yarın', 'perşembeeeeoohhhhh', 'çok', 'şükür', 'gnctrkcll']",Positive
"['is', 'uretemedikleri', 'orta', 'avea', 'vodafone', 'her', 'yer', 'çek', 'mu', 'bil', 'ama', 'iki', 'de', 'turkcell', 'hala', 'çek', 'net']",Positive
"['iyik', 'var', 'siz', 'ol', 'mesaj', 'da', 'gelecek', 'yoktelefon', 'özellik', 'unut', 'ner', 'o', 'kadar', 'ki', 'yalnız']",Positive
"['iyi', 'ki', 'ipad', '2', 'turkcell', 'al', 'cam', 'gibi', 'lig', 'tv', 'her', 'yer', 'teşekkür']",Positive
"['hayat', 'paylaş', 'güzel', 'lalalalalalalalalal', 'd']",Positive
"['kesinlikle', 'superonline']",Positive
"['eğer', 'otur', 'bolgede', 'var', 'superonline', 'fiber', 'net', 'geç']",Positive
"['turkcell', 'ben', 'komısyon', 'baglamalı', 'ben', 'artık', 'kacıncı', 'musterısını', 'kazan', 'dd']",Positive
"['bu', 'yila', 'kadarki', 'en', 'iyi', 'yilbasi', 'reklam', 'sarkis', 'turkcell', 'bu', 'sene', 'yeni', 'bir', 'cebin', 'ol', 'calain', 'ara', 'hep', 'o', 'ol', 'ile', 'baslayandir']",Positive
"['coco', 'colaturkcellvestel', 'reklam', 'onculer']",Positive
"['turkcellmuzik', 'bengü', 'hiç', 'bitmesinn', 'bu', 'sen', 'çok', 'seviyorummm', 'türkcell', 'çok', 'teşkkürler', 'biz', 'böyle', 'bir', 'anı', 'yaşattıgın', 'için']",Positive
"['kendi', 'turkcell', 'in', 'yeni', 'yıl', 'şarkı', 'söyle', 'alikoyamiyorum']",Positive
"['oha', 'turksel', 'ben', 'çalışıyo', 'resmen', '487', 'dakika', 'bedava', 'ver', 'o']",Positive
"['vodafone', 'icin', 'buyuk', 'eksik', 'apple', 'urunlerinde', 'kullanilmak', 'uzer', 'turkcell', 'online', 'islem', 'gibi', 'bir', 'app', 'yapmadilar', 'yapamadilar']",Positive
"['say', 'sağ', 'ol', 'ben', 'ara', 'belir', 'ama', 'mesaj', 'i̇yi', 'sene', 'dile', 'sağlıkmutluluk', 've', 'bol', 'kazanç', 'bir', 'yıl', 'dile']",Positive
"['bahçeşehir', 'üniversite', 'süreyya', 'ciliv', 'özel', 'ödül']",Positive
"['2012', 'kadar', 'sms', 'hak', 'kullan', 'de', 'sevgili', 'turkcell', 'allah', 'razii', 'ol', 'sen', 'ol', 'napardim', 'de', 'iste']",Positive
"['turkcell', 'veya', 'avea', 'var', 'al']",Positive
"['bahçeşehir', 'univ', 'tesekkurler', 'türkiye', 'ye', 'deger', 'kat', 'ödül', 'turkcell', 'ceo', 'sureyya', 'ciliv']",Positive
"['i̇zmir', 'arena', 'inanilmazdintum', 'turkcell', 'ekip', 'son', 'tesekkurler']",Positive
"['başka', 'ne', 'ol', 'sanki', 'ben', 'turkcell', 'yerinde', 'ol', 'sen', 'dakika', '510', 'lira', 'konuş', 'bu', 'saat', 'sonra']",Positive
"['murat', 'erkan', 'turkcell', 'superonline', 'ol', 'misyon', 'operatör', 'operatör', 'ol']",Positive
"['kamil', 'koç', 'un', 'turkcell', 'korna', 'güzel', 'ol']",Positive
"['yeni', 'yıl', 'kutla', 'msgını', 'al', 'teşekkür', 'hayat', 'paylaş', 'güzel', 'lala', 'la', 'la', 'laaa']",Positive
"['bugün', 'perşembe', 'turkcell', 'sinema', 'gün']",Positive
"['bu', 'akşam', 'sinema', 'sherlock', 'kullan', 'için', 'bi', 'gnctrkcll', 'şifre', 'lazım', 'genç', 'bi', 'el', 'at', 'hadi']",Positive
"['aski', 'nasil', 'yollicaksin', 'banaaa', 'd', 'ben', 'kendi', 'yeni', 'hat', 'alirim', 'turkcell', 'daha', 'iyi', 'daha', 'kolay']",Positive
"['sagolasin', 'el', 'öp', 'cok', 'ol', 'mesaj', 'hak', 'turkcell', 'de', 'beles', 'gel', 'd']",Positive
"['o', 'beğen', 'de', 'bide', 'twitter', 'paket', 'bekle', 'turkcell', 'densınırsız', 'twit']",Positive
"['iki', 'hafta', 'gene', 'iyi', 'benimki', 'bir', 'iki', 'ay', 'gelmiştiturkcell', 'sağolsund']",Positive
"['off', 'ali', 'ya', 'sbh', 'sbh', 'ne', 'gül', 'd', 'art', 'ık', 'facebooktanda', 'turkcell', 'ile', 'ilişki', 'war', 'yap', 'sen', 'd']",Positive
"['çek', 'anten', 'taks', 'diye', 'sticker', 'dağıt', 'ben', 'de', 'yaptırcam', 'özel', 'ol']",Positive
"['opuldun', 'bebegim', 'tebrik', 'siz', 'ozel', '1', 'ay', 'boyunca', 'yurtici', 'heryone', '100', 'dakika', 've', '300', 'sms', 'kazandiniz', 'gule', 'gule', 'kullanin']",Positive
"['divane', 'asik', 'gibi', 'blog', 'turkcell', 'blog', 'odullerinde', 'son', '10', 'kalmis', 'destek', 'ver', 'herkes', 'tesekkurler']",Positive
"['aynen', 'kanka', 'turkcell', 'iyı', 'ya']",Positive
"['sen', 'vodafone', 'gibi', 'ani', 'yasa', 'ben', 'turkcell', 'gibi', 'her', 'yer', 'sen', 'cekemem']",Positive
"['tüm', 'müzik', 'ihtiyaç', 'dinle', 'in', 'keşfet', 'vb', 'turkcell', 'kalite', 'tek', 'bir', 'uygula', 'topla', 'ol', 'fena', 'mı']",Positive
"['özturkcell', 'reklam', 'fena', 'komedi']",Positive
"['tweet', 'sabah', 'beri', 'topla', 'oda', 'takip', 'et', 've', 'de', 'ki', 'hayat', '140', 'karakter', 'paylaş', 'güzel']",Positive
"['pazarlamakonferansi', 'turkcell', 'akademi', 'duzenledigi', 'konferansin', 'baslamasini', 'bekle']",Positive
"['ben', 'zaten', 'turkcell', 'için', 'bak', 'turkcell', 'vazgeç', 'her', 'türlü', 'kalite', 'bir', 'ara', 'vodafone', 'kullan', 'ikinci', 'hat', 'yok', 'asla']",Positive
"['ev', 'telefon', 'superonlinea', 'devret']",Positive
"['bu', 'turkcell', 'çok', 'iyi', 'landurduk', 'yer', 'mesaj', 'at', 'kampanya', 'mutlu', 'et', 'falansevgilim', 'gör', 'kıskan', 'um']",Positive
"['kendi', 'de', 'bu', 'açıkla', 'turkcell', 'teknoloji', 'zirve', 'biz', 'terlik', 'bile', 'iş', 'gelir', 'de', 'önem', 'ol', 'mutlu']",Positive
